numdossier_new,lda_documents
T05719001717,"[['accord', 'entreprise', 'categoriel', 'relatif', 'duree', 'travail'], ['accord', 'entreprise', 'categoriel', 'relatif', 'duree', 'travail'], ['objet', 'accord'], ['modalites', 'mise', 'œuvre', 'accord'], ['champ', 'application', 'salariés', 'concernés'], ['caractéristiques', 'convention', 'individuelles'], ['condition', 'mise', 'place'], ['nombre', 'heures', 'travaillées'], ['période', 'référence'], ['décompte', 'temp', 'travail'], ['condition', 'prise', 'compte', 'absence'], ['suivi', 'temp', 'travail'], ['relevé', 'heures', 'travaillées'], ['dispositif', 'alerte'], ['exercice', 'droit', 'déconnexion'], ['rémunération'], ['dépassement', 'éventuel', 'nombre', 'heures', 'fixé', 'contingent', 'annuel'], ['heures', 'supplémentaires'], ['contexte', 'objet'], ['accomplissement', 'heures', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['repos', 'compensateur', 'remplacement'], ['compte', 'epargne', 'temp'], ['objet'], ['fonctionnement', 'compte'], ['tenue', 'compte'], ['utilisation', 'compte', 'épargne', 'temp'], ['délai', 'utilisation', 'droits'], ['congés', 'indemnisés'], ['rémunération', 'immédiate'], ['modalités', 'utilisation'], ['plafond', 'droits', 'inscrits', 'compte'], ['clôture', 'compte'], ['situation', 'compte', 'ca', 'rupture', 'contrat', 'travail'], ['disposition', 'commune'], ['suivi', 'application', 'présent', 'accord', 'rendez-vous'], ['révision'], ['notification', 'dépôt']]"
T00620004373,"[['accord', 'entreprise'], ['relatif', 'heures', 'supplementaires'], ['convention'], ['cadre', 'juridique'], ['contingent', 'heures', 'supplémentaires'], ['définition'], ['période', 'référence'], ['volume', 'contingent', 'annuel'], ['majoration', 'heures', 'supplémentaires', 'incluses', 'contingent', 'annuel'], ['contrepartie', 'obligatoire', 'repos'], ['composition'], ['mission'], ['réunion'], ['durée'], ['dénonciation', 'révision'], ['ratification', 'personnel'], ['publicité', 'accord'], ['date', 'entrée', 'accord']]"
T04422014855,"[['accord', 'adaptation', 'substitution', 'relatif', 'amenagement', 'temp', 'travail'], ['accord', 'appliquera', 'plein', 'droit', 'tous', 'salariés', 'embauchés', 'temp', 'plein'], ['période', 'référence'], ['bilan'], ['détermination', 'durée', 'travail', 'période', 'référence'], ['décompte', 'heures', 'supplémentaires'], ['personnel', 'administratif', '10h00'], ['détermination', 'rythmes', 'travail'], ['décompte', 'heures', 'supplémentaires'], ['rupture', 'contrat'], ['révision'], ['dénonciation']]"
T97221001565,"[['champ', 'application', 'accord'], ['définition', 'temp', 'travail', 'effectif'], ['cadre', 'annuel', 'décompte', 'durée', 'travail'], ['rtt'], ['aménagement', 'temp', 'travail'], ['durée', 'annuelle', 'travail', 'effectif'], ['elaboration', 'planning'], ['heures', 'supplémentaires'], ['respect', 'durées', 'travail', 'maximales'], ['planning', 'horaires', 'travail'], ['prime', 'accord', '2021'], ['dépôt', 'accord'], ['publicité', 'accord'], ['entrée', 'vigueur', 'accord']]"
T05023004007,"[['projet', 'accord', 'entreprise', 'duree'], ['amenagement', 'temp', 'travail'], ['soumis', 'approbation', 'salary'], ['champ', 'application'], ['articulation', 'entre', 'differentes', 'disposition', 'collective', 'applicables'], ['duree', 'travail', 'heures', 'supplementaires'], ['definition', 'temp', 'travail', 'effectif'], ['durees', 'maximales', 'travail', 'repos', 'quotidien', 'hebdomadaire'], ['définition'], ['rémunération'], ['contrepartie', 'obligatoire', 'repos'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['période', 'annuelle', 'référence', 'plafonnement', 'nombre', 'annuel', 'heures', 'travaillées'], ['durées', 'travail', 'maximales', 'repos', 'obligatoire', 'sujétions', 'particulières', 'travail', 'nuit', 'dimanche', 'jours', 'fériés'], ['dispositifs', 'visant', 'préserver', 'vie', 'personnelle', 'familiale', 'salarié', 'santé', 'sécurité'], ['suivi', 'régulier', 'organisation', 'travail', 'salarié', 'charge', 'travail'], ['entretien', 'suivi'], ['dispositif', 'alerte'], ['usage', 'dispositif', 'alerte', 'doit', 'entraîner', 'aucune', 'sanction'], ['droit', 'déconnexion'], ['mise', 'place', 'forfait', 'annuel', 'jours'], ['période', 'annuelle', 'référence', 'plafonnement', 'nombre', 'annuel', 'heures', 'travaillées'], ['plafond', 'annuel', 'jours', 'travaillés'], ['période', 'annuelle', 'référence'], ['jours', 'supplémentaires', 'repos'], ['forfait', 'annuel', 'jours', 'réduit'], ['lissage', 'rémunération'], ['prise', 'compte', 'absence', 'arrivées', 'départs', 'cours', 'période', 'annuelle', 'référence'], ['prise', 'compte', 'absence', 'arrivées', 'départs', 'cours', 'période', 'annuelle', 'référence'], ['arrivée', 'cours', 'année'], ['renonciation', 'jours', 'supplémentaires', 'repos'], ['exemple'], ['dispositifs', 'visant', 'préserver', 'vie', 'personnelle', 'familiale', 'salarié', 'santé', 'sécurité'], ['amplitude', 'travail', 'respect', 'temp', 'repos', 'obligatoires'], ['suivi', 'régulier', 'organisation', 'travail', 'salarié', 'charge', 'travail'], ['entretien', 'suivi'], ['dispositif', 'alerte'], ['usage', 'dispositif', 'alerte', 'doit', 'entraîner', 'aucune', 'sanction'], ['droit', 'déconnexion'], ['caractéristiques', 'convention', 'individuelles', 'forfait', 'annuel', 'jours'], ['accord', 'écrit', 'salarié'], ['poste', 'salarié'], ['précision', 'nombre', 'jours', 'travaillés'], ['rémunération'], ['dispositifs', 'visant', 'préserver', 'vie', 'personnelle', 'familiale', 'salarié', 'santé', 'sécurité'], ['disposition', 'finale'], ['duree', 'accord', 'entree', 'vigueur'], ['publicite', 'depôt', 'accord']]"
T09218001144,"[['accord', 'relatif', 'amenagement', 'temp', 'travail'], ['entree', 'sortie', 'cours', 'periode', 'p.8'], ['absence', 'cours', 'periode', 'p.8'], ['duree', 'revision', 'denonciation', 'accord', 'p.8'], ['champ', 'application'], ['mise', 'place', 'annualisation', 'temp', 'travail'], ['periode', 'reference'], ['durees', 'maximales', 'travail', 'amplitude', 'travail'], ['programmation', 'annualisation', 'temp', 'travail'], ['modification', 'programmation', 'indicative'], ['prestations', 'exceptionnelles'], ['heures', 'supplementaires'], ['décompte', 'heures', 'supplémentaires'], ['contreparties', 'heures', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['remuneration'], ['entree', 'sortie', 'cur', 'periode'], ['absence', 'cours', 'periode'], ['duree', 'revision', 'denonciation', 'accord'], ['durée'], ['révision', 'dénonciation'], ['depot']]"
A09218029734,"[['accord', 'duree', 'amenagement', 'temp', 'travail'], ['salary', 'travaillant', 'chantiers'], ['salary', 'concernes'], ['duree', 'travail'], ['modalites', 'suivi', 'duree', 'travail'], ['salary', 'non', 'affectes', 'chantiers'], ['salary', 'non', 'affectes', 'chantiers', 'dont', 'temp', 'travail', 'peut', 'etre', 'integre', 'service', 'lequel', 'travaillent'], ['durée', 'travail'], ['modalités', 'suivi', 'durée', 'travail'], ['salary', 'non', 'affectes', 'chantiers', 'dont', 'temp', 'travail', 'peut', 'etre', 'predetermine'], ['cadre', 'dit', 'autonomes'], ['autres', 'catégories', 'salariés'], ['modalites', 'application', 'decompte', 'duree', 'travail', 'base', 'convention', 'individuelles', 'forfait', 'jours'], ['personnel', 'exploitation'], ['encadrement', 'exploitation'], ['modalités', 'prise', 'jours', 'repos', 'suivi', 'convention', 'forfait', 'jours', 'année'], ['encadrement', 'opérationnel'], ['modalités', 'prise', 'jours', 'repos', 'suivi', 'convention', 'forfait', 'jours', 'année'], ['personnel', 'commercial', 'administratif'], ['encadrement', 'commercial'], ['autres', 'catégories', 'commerciales'], ['encadrement', 'direction'], ['encadrement', 'support', 'administratif'], ['forfait', 'annuel', 'modalités', 'décompte', 'temp', 'travail'], ['modalités', 'prise', 'jours', 'repos', 'suivi', 'convention', 'forfait', 'jours', 'année'], ['garanties', 'dispostions', 'applicables', 'tous', 'forfaits', 'jours'], ['renonciation', 'jours', 'repos'], ['arrivée', 'départ', 'cours', 'période', 'référence', 'annuelle'], ['traitement', 'absence'], ['droit', 'déconnexion'], ['heures', 'supplementaires'], ['cadre', 'general'], ['forfaits', 'jours', 'annee'], ['temp', 'partiel'], ['priorite', 'augmentation', 'duree', 'travail'], ['egalite', 'traitement'], ['durée', 'accord', 'entree', 'vigueur'], ['revision', 'denonciation', 'accord'], ['publicite', 'accord', 'dépôt', 'accord']]"
T03223060072,"[['accord', 'collectif', 'relatif', 'amenagement', 'temp', 'travail', 'sein', 'société', 'ecocert', 'sa'], ['disposition', 'generales'], ['date', 'application', 'durée', 'accord'], ['suivi', 'accord', 'clause', 'rendez-vous'], ['accord', 'pourra', 'être', 'révisé', 'tout', 'moment', 'suivant', 'prise', 'effet'], ['dépôt', 'accord'], ['transmission', 'accord', 'commission', 'paritaire', 'permanente', 'négociation', 'interprétation', 'branche'], ['publication', 'accord'], ['duree', 'travail', 'modalites', 'organisation', 'temp', 'travail'], ['répartition', 'horaire', 'durée', 'travail'], ['temp', 'travail', 'effectif'], ['temp', 'pause'], ['durées', 'maximales', 'travail', 'repos', 'minimum'], ['durée', 'quotidienne', 'travail'], ['durée', 'hebdomadaire', 'travail', 'semaines', 'consécutives'], ['repos', 'quotidien'], ['durée', 'travail'], ['durée', 'travail', 'salariés', 'bénéficiant', 'convention', 'annuelle', 'forfait', 'jours'], ['durée', 'travail', 'salariés', 'bénéficiant', 'convention', 'annuelle', 'forfait', 'jours'], ['durée', 'travail', 'salariés', 'temp', 'partiel', 'salariés', 'forfait', 'jours', 'réduit'], ['modalités', 'organisation', 'temp', 'travail'], ['modalités', 'organisation', 'temp', 'travail', 'salariés', 'relèvent', 'convention', 'annuelle', 'forfait', 'jours'], ['organisation', 'hebdomadaire'], ['organisation', 'annuelle', 'temp', 'travail', 'type', 'jrtt'], ['période', 'référence', 'répartition', 'temp', 'travail'], ['rémunération'], ['absence'], ['entrée', 'sortie', 'cours', 'période', 'référence'], ['effet', 'absence', 'décompte', 'heures', 'supplémentaires', 'complémentaires'], ['modalités', 'pratiques', 'organisation', 'temp', 'travail'], ['modification', 'horaire', 'salariés', 'temp', 'complet'], ['acquisition', 'prise', 'jrtt'], ['organisation', 'temp', 'travail', 'type', 'modalité', 'accord', 'branche', 'convention', 'collective', 'nationale', 'bureau', 'études', 'technique', 'cabinet', 'ingénieurs-conseils', 'sociétés', 'conseils'], ['modalités', 'organisation', 'temp', 'travail', 'salariés', 'relèvent', 'convention', 'annuelle', 'forfait', 'jours'], ['convention', 'individuelle', 'forfait', 'jours'], ['champ', 'application'], ['convention', 'individuelle', 'forfait', 'jours'], ['nombre', 'journées', 'travail'], ['période', 'annuelle', 'référence'], ['fixation', 'forfait'], ['forfait', 'réduit'], ['jours', 'repos', 'liés', 'forfait'], ['renonciation', 'jours', 'repos'], ['décompte', 'déclaration', 'jours', 'demi-journées', 'travaillés'], ['décompte', 'journées', 'demi-journées', 'travail']]"
T07622009023,"[['issue', 'négociations', 'annuelles', 'obligatoires', 'prévues', 'article', '2242-1', 'suivants', 'code', 'travail', 'portant', 'thèmes', 'suivants'], ['partage', 'valeur', 'ajoutée'], ['novembre', '2022'], ['décembre', '2022'], ['perimetre', 'accord'], ['remuneration'], ['disposition', 'applicable', 'ensemble', 'personnel', 'dotation', 'exceptionnelle', 'budget', 'activités', 'sociales', 'culturelles', 'cse'], ['disposition', 'spécifiques', 'personnel', 'sédentaire'], ['titre', 'restaurant'], ['disposition', 'spécifiques', 'personnel', 'roulant'], ['prime', 'manutention'], ['prime', 'polyvalence'], ['champ', 'application', 'condition', 'attribution'], ['condition', 'mise', 'œuvre'], ['montant', 'modalités', 'calcul'], ['prime', 'samedi'], ['montant', 'modalités', 'calcul'], ['prime', 'départ', 'dimanche', 'jour', 'férié'], ['prime', 'respect', 'réglementation', 'prime', 'prime'], ['duree', 'effective', 'organisation', 'temp', 'travail'], ['partage', 'valeur', 'ajoutee'], ['dispositifs', 'épargne', 'salariale'], ['intéressement'], ['participation'], ['plan', 'epargne', 'entreprise', 'percol'], ['egalite', 'professionnelle', 'entre', 'femmes', 'hommes', 'qualite', 'vie', 'travail']]"
T07320002695,"[['accord', 'entreprise', 'agate'], ['cadre', 'duree', 'organisation', 'travail'], ['disposition', 'spécifiques', 'temp', 'partiels'], ['duree', 'repartition', 'pluri-hebdomadaire', 'temp', 'travail', 'temp', 'partiels'], ['organisation', 'jours', 'repos', 'temp', 'partiels'], ['heures', 'complementaires', 'temp', 'partiels'], [], ['disposition', 'generales'], ['champ', 'application'], ['travail', 'effectif'], ['duree', 'quotidienne', 'maximale'], ['duree', 'hebdomadaire', 'maximale'], ['repos', 'quotidien'], ['repos', 'hebdomadaire'], ['repartition', 'duree', 'hebdomadaire'], ['volume', 'contingent', 'annuel', 'heures', 'supplementaires'], ['taux', 'majoration', 'heures', 'supplementaires'], ['mise', 'place', 'repos', 'compensateur', 'remplacement'], [], ['salary', 'concernes'], ['periode', 'decompte', 'horaire', 'programmation', 'modification', 'horaire'], ['durée', 'minimale'], ['calendrier', 'previsionnel', 'delai', 'prevenance'], ['organisation', 'type', 'travail'], ['flexibilite', 'horaires'], ['decompte', 'heures', 'heures', 'supplementaires'], ['indemnisation', 'temp', 'trajet', 'anormalement', 'longs'], ['remuneration'], ['absence'], ['embauche', 'rupture', 'contrat', 'cours', 'annee'], ['modalites', 'specifiques', 'contrats', 'duree', 'determinee'], ['suivi', 'temp', 'travail'], ['duree', 'repartition', 'pluri-hebdomadaire', 'temp', 'travail', 'temp', 'partiels'], ['organisation', 'jours', 'repos', 'temp', 'partiels'], ['heures', 'complementaires', 'temp', 'partiels'], ['egalite', 'traitement', 'droits', 'salary', 'temp', 'partiels'], [], ['objectif', 'teletravail'], ['principe', 'teletravail'], ['définition'], ['organisation'], ['formalisation'], ['criteres', 'eligibilite'], ['situation', 'générales', 'exceptionnelles'], ['situation', 'spécifiques', 'individuelles'], ['ancienneté', 'minimale'], ['nature', 'activité', 'poste'], ['modalites', 'mise', 'œuvre'], ['détermination', 'jours', 'télétravail']]"
T07122003699,"[['disposition', 'generales'], ['objet', 'avenant'], ['temp', 'travail', 'effectif'], ['temp', 'pause', 'pause', 'méridienne'], ['temp', 'habillage', 'déshabillage'], ['temp', 'déplacement', 'salariés', 'hors', 'convention', 'forfait', 'jours'], ['contrôle', 'temp', 'travail'], ['contingent', 'annuel', 'heures', 'supplémentaires', 'repos', 'remplacement'], ['jours', 'fériés', 'exceptionnellement', 'travaillés', 'cet', 'article', 'concerne', 'équipes', 'suppléance'], ['journée', 'solidarité'], ['cycle', 'travail', 'posté', '3x8'], ['période', 'référence', 'répartition', 'durée', 'travail'], ['condition', 'délais', 'prévenance', 'changements', 'durée', 'horaires', 'travail'], ['lissage', 'rémunération'], ['appréciation', 'heures', 'supplémentaires'], ['incidence', 'absence', 'ainsi', 'arrivées', 'départs', 'cours', 'période', 'référence'], ['horaire', 'référence', 'délai', 'prévenance'], ['octroi', 'jours', 'repos'], ['acquisition', 'jrtt'], ['prise', 'jrtt'], ['paiement', 'suivi', 'jrtt'], ['lissage', 'rémunération'], ['appréciation', 'heures', 'supplémentaires'], ['incidence', 'absence', 'ainsi', 'arrivées', 'départs', 'cours', 'période', 'référence'], ['champ', 'application', 'convention', 'forfaits', 'jours'], ['convention', 'individuelle', 'forfait'], ['octroi', 'jours', 'repos'], ['renonciation', 'jours', 'repos'], ['suivi', 'jours', 'travaillés'], ['evaluation', 'suivi', 'régulier', 'charge', 'travail'], ['entretien', 'annuel', 'forfait', 'jours'], ['dispositif', 'alerte'], ['droit', 'déconnexion'], ['rémunération'], ['traitement', 'absence', 'entrées', 'départs', 'cours', 'période'], ['recours', 'équipes', 'suppléance'], ['définition'], ['mise', 'place'], ['durée', 'travail', 'répartition', 'horaire', 'travail'], ['rémunération'], ['congés', 'payés'], ['droits', 'légaux', 'conventionnels', 'équipes', 'suppléance'], ['priorité', 'affectation', 'poste', 'semaine'], ['accès', 'formation'], ['sort', 'prime', 'accord', '35h'], ['ancienneté', 'cadre'], ['prime', 'ancienneté']]"
T01320007643,"[['accord', 'entreprise', 'relatif', 'contingent', 'heures', 'supplementaires'], ['mise', 'œuvre'], ['contingent', 'heures', 'supplementaires'], ['disposition', 'finale'], ['ratification', 'accord'], ['durée', 'entrée', 'vigueur'], ['dépôt', 'publicité', 'accord']]"
T04421009803,"[['accord', 'collectif', 'association', 'caap', 'ouest'], ['association', 'caap', 'ouest', 'compte', 'délégué', 'syndical', 'sein', 'structure'], ['disposition', 'generales'], ['portée', 'accord'], ['suivi', 'accord', 'clause', 'rendez-vous'], ['accord', 'pourra', 'être', 'révisé', 'suite', 'prise', 'effet'], ['communication', 'accord'], ['dépôt', 'accord'], ['regime', 'heures', 'travail', 'supplementaires'], ['définition', 'heures', 'travail', 'supplémentaires'], ['effet', 'absence', 'poste', 'travail', 'décompte', 'heures', 'travail', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'travail', 'supplémentaires'], ['repos', 'compensateur', 'remplacement'], ['prise', 'repos', 'compensateur'], ['information', 'salariés', 'repos', 'compensateur'], ['financement', 'mutuelle'], ['evolution', 'professionnelle', 'salary'], ['entretien', 'annuel'], ['evolution', 'professionnelle', 'salarié', 'raison', 'capacités', 'professionnelles', 'emploi', 'ou/et', 'implication', 'emploi'], ['evolution', 'professionnelle', 'raison', 'ancienneté', 'salarié', 'emploi'], ['conge', 'remuneres', 'enfant', 'malade'], ['reduction', 'nombre', 'jours', 'delai', 'carence', 'ouverture', 'droit', 'maintien', 'salaire', 'patronal', 'ca', 'maladie', 'accident']]"
T05718000407,"[['accord', 'organisation'], ['temp', 'travail'], ['amenagement', 'temp', 'travail'], ['champ', 'application', 'titre'], ['periode', 'duree', 'annuelle', 'decompte', 'temp', 'travail'], ['amplitude', 'annualisation'], ['compte', 'individuel', 'annuel'], ['prise', 'compte', 'absence'], ['entree', 'sortie', 'effectif', 'cours', 'annee'], ['condition', 'remuneration'], ['rémunération', 'cours', 'période', 'décompte'], ['rémunération', 'fin', 'période', 'annuelle', 'décompte'], ['taux', 'majoration', 'contingent', 'heures', 'supplementaires'], ['champ', 'application', 'titre'], ['taux', 'majoration', 'heures', 'supplementaires'], ['contingent', 'annuel', 'heures', 'supplementaires'], ['modalites', 'application', 'accord'], ['duree', 'denonciation', 'depot'], ['publicité']]"
T07123004039,"[['negociations', 'annuelles', 'obligatoires', '2023'], ['issue', 'négociation', 'annuelle', 'obligatoire', 'prévue', 'article', 'l2242-1', 'suivants', 'code', 'travail', 'convenu', 'suit', 'entre'], ['evolution', 'générale', 'salaires'], ['prime', 'travail', 'froid'], ['avenant', 'convention', 'collective', 'fixe', 'critères', 'travail', 'froid', 'indemnisation'], ['evolution', 'individuelles'], ['majoration', 'heures', 'nuit'], ['journée', 'solidarité'], ['contrat', 'intéressement'], ['prime', 'exceptionnelle', 'pouvoir', 'achat', 'prime', 'partage', 'valeur']]"
T07520025137,"[['juin', '2019'], ['article', 'accord', 'collectif', 'juin', '2019', 'remplacé', 'article', 'ci-dessous'], ['heures', 'supplémentaires', 'heures', 'complémentaires'], ['majoration', 'heures', 'supplémentaires', 'heures', 'complémentaires'], ['majoration', 'heures', 'dites', 'normales'], ['article', 'accord', 'collectif', 'juin', '2019', 'remplacé', 'article', 'ci-dessous'], ['forfait', 'jours'], ['révision', 'article', 'conséquences', 'absence', 'rémunération', 'accord', 'juin', '2019'], ['article', 'accord', 'collectif', 'juin', '2019', 'remplacé', 'article', 'ci-dessous'], ['conséquences', 'absence', 'rémunération', 'forfait']]"
T02819001100,"[['accord', 'entreprise', 'relatif', 'contingent', 'heures', 'supplementaires', 'organisation', 'petits', 'deplacements', 'temp', 'travail'], ['heures', 'supplementaires'], ['contingent', 'heures', 'supplémentaires'], ['majorations', 'applicables', 'heures', 'supplémentaires'], ['indemnites', 'petits', 'deplacements'], ['indemnité', 'trajet', 'indemnité'], ['amenagement', 'temp', 'travail'], ['horaire', 'été/hiver'], ['temp', 'habillage'], ['pause', 'entre', '10h'], ['pause', '-déjeuner'], ['déroulement', 'journée', 'type', 'titre', 'exemple'], ['travail', 'exceptionnel', 'dimanche', 'jour', 'ferie', 'nuit'], ['travail', 'dimanche', 'et/ou', 'jour', 'férié'], ['travail', 'nuit', 'exceptionnel', 'programmé'], ['non', 'cumul'], ['duree', 'accord'], ['suivi', 'accord'], ['formalites']]"
T07519010604,"[['accord', 'aménagement', 'temp', 'travail'], ['personnel', 'concerné'], ['nombre', 'jrtt'], ['impact', 'absence'], ['heures', 'supplémentaires'], ['modalités', 'suivi', 'charge', 'travail'], ['obligation', 'déconnexion'], ['personnel', 'concerné'], ['durée', 'annuelle', 'travail'], ['modalités', 'prise', 'jrtt'], ['impact', 'absence'], ['modalités', 'suivi', 'charge', 'travail'], ['obligation', 'déconnexion'], ['rémunération'], ['jours', 'congés', 'entraide', 'familiale'], ['forfait', 'hebdomadaire', 'heures', 'couplé', 'jrtt'], ['personnel', 'concerné'], ['aménagement', 'durée', 'travail'], ['nombre', 'jrtt'], ['modalités', 'prise', 'jrtt'], ['impact', 'absence'], ['heures', 'supplémentaires'], ['durées', 'maximales', 'travail', 'minimales', 'repos'], ['modalités', 'suivi', 'charge', 'travail'], ['obligation', 'déconnexion'], ['effectivité', 'respect', 'salarié', 'durées', 'maximales', 'travail', 'minimales', 'repos', 'implique', 'dernier', 'obligation', 'déconnexion', 'outils', 'communication', 'distance'], ['rémunération'], ['forfait', 'annuel', 'jours'], ['personnel', 'concerné'], ['durée', 'annuelle', 'travail'], ['amplitude', 'travail', 'respect', 'temp', 'repos'], ['modalités', 'prise', 'jrtt'], ['impact', 'absence'], ['modalités', 'décompte', 'journées', 'demi-journées', 'travaillées'], ['modalités', 'suivi', 'charge', 'travail'], ['obligation', 'déconnexion'], ['rémunération'], ['congés', 'payés'], ['jours', 'congé', 'ancienneté'], ['jours', 'congés', 'entraide', 'familiale'], ['don', 'jours', 'repos'], ['commission', 'suivi', 'interprétation', 'accord'], ['révision', 'dénonciation'], ['publicité', 'dépôt', 'accord']]"
T09419003402,"[['accord', 'entreprise', 'societe', 'sarl', 'creche', 'skypia'], ['durée', 'révision', 'dénonciation'], ['suivi'], ['embauche', 'contrat', 'travail'], ['document', 'obligatoires'], ['salaires'], ['obligation', 'particulières', 'salarié'], ['renouvellement', 'contrat', 'durée', 'déterminée'], ['durée', 'travail'], ['référence', 'hebdomadaire'], ['temp', 'pause'], ['taux', 'majoration', 'heures', 'non', 'récupérées'], ['temp', 'partiel'], ['durée', 'minimale'], ['heures', 'complémentaires'], ['planning', 'modification', 'salariés', 'temp', 'complet'], ['congés', 'jours', 'fériés'], ['absence', 'autorisées', 'évènements', 'familiaux', 'démarche', 'administrative'], ['jours', 'enfant', 'malade'], ['jours', 'fériés'], ['garantie', 'frais', 'santé', 'prévoyance'], ['frais', 'transport'], ['primauté', 'accord', 'entreprise'], ['publicité']]"
T03321008601,"[['accord', 'entreprise'], ['relatif', 'contingent', 'heures', 'supplémentaires'], ['contingent', 'heures', 'supplémentaires'], ['majorations', 'applicables', 'heures', 'supplémentaires'], ['formalités']]"
T09120004993,"[['accord', 'collectif', 'portant', 'augmentation', 'contingent', 'annuel', 'heures', 'supplémentaires'], ['objet'], ['définition', 'contingent', 'annuel', 'heures', 'supplémentaires'], ['condition', 'accomplissement', 'heures', 'supplémentaires', 'au-delà', 'contingent', 'annuel'], ['caractéristiques', 'condition', 'prise', 'contrepartie', 'obligatoire', 'sou', 'forme', 'repos'], ['employeur', 'dispose', 'délai', 'sept', 'jours', 'faire', 'connaître', 'réponse', 'salarié'], ['clause', 'rendez-vous', 'suivi', 'impact', 'santé', 'sécurité', 'salariés'], ['révision', 'dénonciation'], ['condition', 'validité']]"
T04418002509,"[['avenant', 'accord', 'collectif', 'entreprise'], ['contrepartie', 'obligatoire', 'repos'], ['lutte', 'contre', 'stress', 'lié', 'utilisation', 'outils', 'numériques', 'professionnels'], ['volet', 'organisation', 'temp', 'travail'], ['durée', 'travail'], ['durée', 'légale', 'travail'], ['définition', 'temp', 'travail', 'effectif']]"
T08822003328,"[['accord', 'collectif', 'portant'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['objet', 'accord'], ['champ', 'application'], ['notion', 'heures', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['durée', 'accord'], ['clause', 'suivi'], ['révision', 'dénonciation'], ['depot', 'publicité'], ['formalités', 'dépôt']]"
T02523004718,"[['accord', 'substitution', 'relatif', 'amenagement'], ['reduction', 'temp', 'travail'], ['partie'], ['notion', 'temp', 'travail', 'effectif'], ['temp', 'pause'], ['horaires', 'variable'], ['main', 'œuvre', 'indirecte'], ['main', 'œuvre', 'directe', 'mod'], ['durees', 'maximales', 'travail', 'repos', 'quotidien', 'hebdomadaire'], ['durée', 'quotidienne', 'maximale', 'travail'], ['durée', 'hebdomadaire', 'maximale', 'travail'], ['amplitude', 'maximale', 'journée', 'travail'], ['repos', 'quotidien', 'hebdomadaire'], ['contingent', 'heures', 'supplementaires'], ['journee', 'solidarite'], ['conge', 'paye'], ['equivalence', 'congés', 'salariés', 'habituellement', 'présents', 'moins', 'jours', '/semaine'], ['periode', 'reference'], ['travail', 'samedi'], ['travail', 'jours', 'feries'], ['partie'], ['salary', 'concernes'], ['mise', 'place', 'repartition', 'temp', 'travail', 'jours'], ['volontariat'], ['periode', 'transitoire', '04/09/2023', '30/04/2024'], ['fixation', 'jour', 'hebdomadaire', 'non', 'travaille'], ['suspension', 'repartition', 'jours'], ['reversibilite', 'repartition', 'jours'], ['reversibilite', 'initiative', 'employeur'], ['reversibilite', 'collective'], ['reversibilite', 'initiative', 'salarie'], ['partie'], [], ['salary', 'concernes'], ['periode', 'reference'], ['amenagement', 'temp', 'travail', 'duree', 'superieure', 'semaine'], ['salary', 'beneficiant', 'contrat', 'travail', 'base', 'hebdomadaire', 'heures', 'moyenne', 'annee'], ['salary', 'beneficiant', 'contrat', 'travail', 'base', 'hebdomadaire', 'superieure', 'heures', 'moyenne', 'annee'], ['variation', 'duree', 'hebdomadaire', 'planification', 'delai', 'prevenance', 'changements', 'planning'], ['decompte', 'temp', 'travail'], ['compteurs', 'annualisation', 'mise', 'place', 'compteur', 'annualisation', 'salarie', 'compteur', 'annualisation', 'employeur'], ['definition', 'compteur', 'annualisation', 'salarie'], ['definition', 'compteur', 'annualisation', 'employeur'], ['fonctionnement', 'compteur', 'annualisation', 'salarie'], ['salary', 'concernes']]"
T07521035447,"[['accord', 'annualisation'], ['temp', 'travail'], ['principe', 'généraux', 'régissant', 'organisation', 'travail', 'sein', 'entreprise'], ['temp', 'travail', 'effectif', 'temp', 'pause', 'temp', 'repos', 'temp', 'trajet'], ['durées', 'maximales', 'travail', 'hebdomadaire', 'amplitude'], ['modalités', 'aménagement', 'temp', 'travail'], ['répartition', 'annuelle', 'travail', 'calendrier'], ['décompte', 'horaires', 'travail'], ['limites', 'décompte', 'heures', 'supplémentaires'], ['limites', 'décompte', 'heures', 'complémentaires'], ['rémunération'], ['absence'], ['embauche', 'rupture', 'contrat', 'cours', 'année'], ['communication', 'accord'], ['dénonciation', 'usage', 'pratiques', 'existantes'], ['approbation', 'référendaire'], ['publicité']]"
