numdossier_new,lda_documents
T05321002442,"[['disposition', 'générales'], ['objet', 'portée', 'accord'], ['définition', 'différentes', 'catégories', 'personnel'], ['temp', 'pause'], ['généralités'], ['temp', 'pause', 'rémunérés'], ['temp', 'repas'], ['temp', 'trajet'], ['disposition', 'specifiques', 'organisation', 'temp', 'travail', 'personnel', 'dont', 'temp', 'travail', 'decompte', 'heures'], ['principe', 'généraux', 'organisation', 'travail'], ['durée', 'hebdomadaire', 'travail'], ['amplitude', 'journée', 'travail', 'pourra', 'excéder', 'heures', 'sauf', 'ca', 'dérogation', 'durée', 'quotidienne', 'travail'], ['journée', 'solidarité'], ['horaires', 'travail'], ['travail', 'posté'], ['horaire', 'posté', 'équipes', 'successives'], ['horaires', 'journée'], ['horaires', 'flexibles'], ['annualisation', 'temp', 'travail'], ['lorsque', 'accord', 'applique', 'salariés', 'temp', 'partiel', 'prévoit', 'modalités', 'communication', 'modification', 'répartition', 'durée', 'horaires', 'travail'], ['amplitude', 'variation', 'horaire', 'travail'], ['semaines', 'dites', 'hautes'], ['semaines', 'dites', 'bass'], ['décompte', 'heures'], ['prise', 'repos', 'anticipation'], ['absence'], ['absence', 'rémunérées', 'indemnisées'], ['heures', 'supplémentaires'], ['définition', 'heures', 'supplémentaires'], ['contingent', 'annuel'], ['rémunération', 'heures', 'supplémentaires'], ['remplacement', 'paiement', 'heures', 'supplémentaires', 'majorations', 'comprises'], ['modalités', 'prise', 'repos', 'compensateur', 'remplacement'], ['travail', 'temp', 'partiel'], ['définition'], ['heures', 'complémentaires'], ['retour', 'travail', 'temp', 'complet'], ['travail', 'équipes', 'travail', 'posté'], ['définition'], ['equipes', 'semaine'], ['modalités', 'organisation', 'horaires', 'travail'], ['affichage', 'horaires', 'semaine', 'suivante', 'lieu', 'jeudi', 'avant', '12h'], ['définition', 'équipes', 'fin', 'semaine'], ['modalités', 'organisation', 'horaires', 'travail', 'temp', 'pause'], ['affichage', 'horaires', 'semaine', 'suivante', 'lieu', 'jeudi', 'avant', '12h'], ['rémunération'], ['définition'], ['affichage', 'horaires', 'semaine', 'suivante', 'lieu', 'jeudi', 'avant', '12h'], ['rémunération']]"
T07822011841,"[['aménagement', 'réduction', 'temp', 'travail'], ['article', '3.11', 'accord', 'décembre', '2000', 'précise', 'modalités', 'décompte', 'valorisation', 'heures', 'effectuées', 'fixe', 'contingent', 'heures', 'supplémentaires', 'heures']]"
T06723012856,"[['accord', 'amenagement', 'temp', 'travail'], ['disposition', 'generales'], ['champ', 'application', 'accord'], ['objet', 'présent', 'accord'], ['champ', 'application', 'dispositif'], ['durée', 'travail'], ['modulation', 'temp', 'travail'], ['programmation', 'indicative', 'planning', 'individuels'], ['lissage', 'rémunération'], ['heures', 'supplémentaires'], ['décompte', 'heures', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['contrepartie', 'heures', 'supplémentaires'], ['volume', 'forfait'], ['modalités', 'convention', 'individuelle', 'forfait', 'jours', 'année'], ['modalités', 'prise', 'jours', 'repos'], ['rémunération'], ['traitement', 'absence'], ['forfait', 'jours', 'réduit'], ['garanties', 'suivi', 'charge', 'travail'], ['respect', 'temp', 'repos'], ['entretiens', 'individuels'], ['droit', 'déconnexion'], ['heures', 'supplémentaires'], ['définition', 'heures', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['contrepartie', 'heures', 'supplémentaires'], ['travail', 'nuit'], ['justification', 'recours', 'travail', 'nuit'], ['définitions'], ['affectation', 'travail', 'nuit'], ['durée', 'travail', 'temp', 'pause'], ['durée', 'travail', 'hebdomadaire'], ['temp', 'pause'], ['contreparties', 'travail', 'nuit'], ['mesures', 'relative', 'amélioration', 'condition', 'travail'], ['surveillance', 'médicale', 'adaptée'], ['mesures', 'relative', 'articulation', 'entre', 'activité', 'professionnelle', 'nocturne', 'vie', 'personnelle', 'salariés'], ['garanties', 'visant', 'articulation', 'vie', 'professionnelle', 'vie', 'personnelle'], ['mesures', 'destinées', 'assurer', 'égalité', 'professionnelle', 'entre', 'femmes', 'hommes'], ['disposition', 'finale'], ['entrée', 'vigueur', 'durée', 'accord'], ['portée', 'accord'], ['dépôt', 'publicité', 'accord']]"
T06723013595,"[['accord', 'concernant', 'heures', 'supplementaires'], ['champ', 'application'], ['definition', 'heures', 'supplementaires'], ['taux', 'majoration'], ['repos', 'compensateur'], ['contingent', 'heures', 'supplementaires'], ['contrepartie', 'obligatoire', 'repos', 'cor'], ['validation', 'accord'], ['duree', 'accord'], ['disposition', 'finale']]"
T03718000362,"[['accord', 'amenagement', 'temp', 'travail'], ['disposition', 'generales'], ['champ', 'application'], ['duree', 'accord'], ['iii', 'commission', 'suivi'], ['disposition', 'specifiques', 'tous', 'salary'], ['duree', 'travail'], ['disposition', 'specifiques', 'non', 'cadre'], ['heures', 'supplementaires'], ['taux', 'majoration'], ['contingent'], ['heures', 'complementaires'], ['iii', 'modalités', 'amenagement', 'temp', 'travail'], ['description', 'organisation', 'temp', 'travail'], ['incidence', 'salaires'], ['embauche', 'rupture', 'contrat', 'travail', 'cours', 'période', 'référence'], ['absence'], ['condition', 'suspensives'], ['formalites']]"
A04418009920,"[['accord', 'entreprise'], ['objet'], ['champ', 'application'], ['principe', 'modalites', 'recours', 'heures', 'supplementaires'], ['remuneration', 'heures', 'supplementaires'], ['augmentation', 'contingent', 'heures', 'supplementaires'], ['duree', 'denonciation', 'revision', 'accord'], ['révision'], ['dénonciation'], ['communication', 'accord'], ['condition', 'validité', 'publicité']]"
T05019001116,"[['accord', 'collectif', 'entreprise', 'revision'], ['relatif', 'duree', 'organisation'], ['temp', 'travail'], ['juin', '2019'], ['durée', 'travail'], ['organisation', 'temp', 'travail'], ['modalités'], ['pause'], ['application'], ['attribution', 'jours', 'rtt'], ['incidence', 'absence', 'entrées/sorties', 'cours', 'année'], ['acquisition'], ['prise', 'jours', 'rtt'], ['modification', 'temp', 'travail'], ['révision'], ['2232-12', 'suivants', 'code', 'travail'], ['dénonciation']]"
T09223042931,"[['accord', 'entreprise'], ['relatif', 'duree', 'travail', 'sein', 'societe', 'inedee'], ['disposition', 'générales'], ['disposition', 'generales'], ['objet', 'accord'], ['définitions'], ['jour', 'ouvré', 'signification', 'donnée', 'article', 'convention', 'collective', 'syntec', 'désigne', 'lundis', 'mardis', 'mercredis', 'jeudis', 'vendredis', 'non', 'fériés', 'non', 'chômés'], ['principe', 'généraux', 'relatifs', 'durée', 'travail'], ['temp', 'travail', 'effectif'], ['durée', 'maximale', 'travail'], ['temp', 'pause'], ['temp', 'pause', 'régulier'], ['temp', 'repas'], ['journée', 'solidarité'], ['décompte', 'contrats', 'travail', 'suspendus'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['conciliation', 'vie', 'personnelle', 'vie', 'privée'], ['rappel', 'contexte'], ['application', 'principe', 'droit', 'déconnexion'], ['respect', 'droit', 'déconnexion'], ['mise', 'œuvre', 'droit', 'déconnexion'], ['disposition', 'relative', 'amenagement', 'temp', 'travail'], ['salariés', 'forfait', 'heures'], ['organisation', 'annuelle', 'temp', 'travail', 'salariés', 'forfait', 'heures'], ['objectif'], ['période', 'hebdomadaire', 'décompte', 'temp', 'travail'], ['période', 'acquisition', 'jours', 'repos'], ['modulation', 'temp', 'travail', 'forfait', 'heures'], ['application', 'période', 'référence'], ['modalités', 'octroi', 'prise', 'jours', 'repos'], ['suivi', 'temp', 'travail'], ['rémunération', 'salariés', 'forfait', 'heures'], ['heures', 'supplémentaires'], ['définition', 'heures', 'supplémentaires'], ['salariés', 'forfait', 'jours'], ['organisation', 'annuelle', 'temp', 'travail', 'salariés', 'forfait', 'jours'], ['objectif'], ['modulation', 'temp', 'travail', 'forfait', 'jours'], ['modalités', 'octroi', 'prise', 'jours', 'repos', 'annuels', 'salariés'], ['organisation', 'travail', 'salariés', 'forfait', 'jours'], ['amplitude', 'horaire', 'salariés'], ['rémunération', 'salariés', 'forfait', 'jours'], ['disposition', 'finale'], ['durée', 'accord', 'date', 'application'], ['disposition', 'spécifiques', 'année', '2023'], ['publicité', 'accord']]"
T01422006469,"[['accord', 'entreprise'], ['amenagement', 'temp', 'travail'], ['temp', 'partiel', 'annee'], ['contenu', 'contrat', 'travail'], ['durée', 'travail'], ['période', 'référence', 'décompte', 'temp', 'partiel'], ['durée', 'minimale', 'maximale', 'travail'], ['information', 'salariés', 'programmation', 'activité', 'leurs', 'horaires', 'travail'], ['condition', 'délais', 'prévenance', 'ca', 'modification', 'programmation', 'indicative', 'temp', 'travail'], ['heures', 'complémentaires'], ['rémunération'], ['lissage', 'rémunération'], ['prise', 'compte', 'absence'], ['arrivée', 'départ', 'cours', 'période', 'référence'], ['congés', 'payés', 'jours', 'repos'], ['clause', 'dénonciation', 'accord', 'durée', 'indéterminée'], ['clause', 'rendez-vous', 'suivi'], ['formalités', 'adoption'], ['clause', 'révision'], ['dépôt', 'publicité', 'mise', 'ligne'], ['entrée', 'vigueur', 'accord']]"
T07521028285,"[['accord', 'anticipé', 'substitution', 'durée', 'aménagement', 'temp', 'travail', 'sein', 'aésio', 'mutuelle'], ['objet', 'champ', 'application'], ['objet'], ['bénéficiaires'], ['durée', 'travail', 'référence'], ['travail', 'effectif', 'temp', 'pause'], ['modalités', 'décompte', 'temp', 'travail', 'effectif'], ['heures', 'supplémentaires'], ['définition', 'heures', 'supplémentaires'], ['décompte', 'heures', 'supplémentaires'], ['durées', 'maximales', 'travail', 'salariés', 'dont', 'temp', 'travail', 'décompté', 'heures'], ['repos', 'hebdomadaire'], ['modalités', 'spécifiques', 'travail', 'exceptionnel', 'samedi', 'dimanche', 'jours', 'fériés'], ['temp', 'déplacement'], ['définition', 'temp', 'déplacement', 'professionnel'], ['indemnisation', 'déplacements', 'professionnels'], ['déplacement', 'professionnel', 'pendant', 'temp', 'travail'], ['congés'], ['périodes', 'référence'], ['droits', 'congés', 'annuels'], ['modalités', 'décompte', 'congés', 'annuels'], ['jours', 'ancienneté'], ['jours', 'congés', 'payés', 'supplémentaires'], ['fractionnement'], ['jours', 'évènements', 'familiaux'], ['temp', 'partiel'], ['répartition', 'durée', 'travail', 'salariés', 'temp', 'partiel'], ['heures', 'complémentaires'], ['rémunération'], ['formation'], ['passage', 'temp', 'complet'], ['disposition', 'applicables', 'ca', 'pluralité', 'activités'], ['egalité', 'traitement'], ['passage', 'temp', 'partiel', 'initiative', 'salarié'], ['procédure', 'demande', 'temp', 'partiel', 'initiative', 'salarié'], ['condition', 'acceptation'], ['fonctionnement', 'jrtt'], ['modalités', 'acquisition', 'prise', 'jours', 'rtt'], ['incidence', 'absence', 'jours', 'rtt'], ['embauche', 'départ', 'cours', 'année'], ['lissage', 'rémunération', 'incidence', 'absence', 'cours', 'période', 'référence'], ['organisation', 'amenagement', 'temp', 'travail', 'activites', 'contact', 'adherent', 'prospect', 'necessitant', 'organisation', 'travail', 'specifique'], ['travail', 'samedi'], ['plateau', 'téléphoniques', 'entrant'], ['modalités', 'organisation'], ['choix', 'organisation', 'temp', 'travail'], ['règles', 'planification'], ['mise', 'place', 'planning'], ['temp', 'pause']]"
